"Año","Código actividad económica","Nombre actividad económica","Código sector económico","Nombre sector económico","Código subsector económico","Nombre subsector económico","Costos y gastos nómina","Aportes seguridad","Aportes a entidades","Efectivo y equivalentes","Inversiones e instrumentos","Cuentas y otros por cobrar","Inventarios","Propiedades","Otros activos","Total patrimonio bruto","Pasivos","Total patrimonio líquido","Ingresos ordinarios","Ingresos financieros","Otros ingresos","Total ingresos brutos","Devoluciones, rebajas","Ingresos no renta","Total ingresos netos","Costos","Gastos administración","Gastos distribución","Gastos financieros","Otros gastos","Total costos y gastos","Renta líquida ordinaria","Pérdida líquida","Compensaciones","Renta líquida","Renta presuntiva","Renta exenta","Rentas gravables","Renta líquida gravable","Ingresos ganancias ocasionales","Costos ganancias ocasionales","Ganancias ocasionales no gravadas","Ganancias ocasionales gravables","Impuesto RLG","Descuentos tributarios","Impuesto neto de renta","Impuesto ganancias ocasionales","Total Impuesto a cargo","Anticipo renta año anterior","Saldo a favor año anterior","Autorretenciones","Otras retenciones","Total retenciones","Anticipo renta siguiente año","Saldo a pagar por impuesto","Sanciones","Total saldo a pagar","Total saldo a favor"
"2012","5011","Transporte de pasajeros marítimo y de cabotaje ","6","Comercio al por mayor y al por menor, transporte  y almacenamiento, actividades de alojamiento y de servicio de comidas","8","Transporte y almacenamiento","11471","2291","792","19457","46836","27246","5504","52856","7482","159380","40336","120556","196280","240","4105","200625","848","117","199660","153507","22461","8231","0","5436","36128","10053","1339","206","9847","3190","304","0","12008","25","25","0","0","3962","204","3759","0","3759","1531","250","343","811","1154","1810","2961","5","2965","327"
"2014","6511","Seguros generales ","8","Actividades financieras, inmobiliarias y de seguros","11","Actividades financieras y de seguros","625229","76899","28462","8012957","1096129","3831095","599","517959","1470840","14929578","11760505","3495651","19289716","728003","227577","20245297","215109","106107","19924081","14099198","3034199","1700239","0","529915","5264362","500993","76299","13289","487704","86651","18692","2955","488408","86993","67688","10229","9099","121726","40","121689","909","122598","42807","17233","28599","21852","50451","48346","85205","107","85215","24656"
"2016","3011","CONSTRUCCIÓN DE BARCOS Y DE ESTRUCTURAS FLOTANTES","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","11340","1481","347","4260","5716","32293","6665","46522","4245","99701","39319","61067","73361","557","8519","82437","2874","0","79563","53348","15148","2591","0","4396","75482","4845","765","255","4590","1633","0","0","4936","2793","2642","0","152","1230","0","1230","15","1245","109","656","149","1704","1853","164","84","13","85","1260"
"2016","8551","FORMACIÓN ACADÉMICA NO FORMAL","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","16","EDUCACIÓN","126005","16370","5460","100829","3491","138470","8202","177851","24757","453599","195392","265441","540878","3961","16697","561536","9281","162","552093","171177","290423","53589","6","11607","526802","42135","16521","312","41823","3199","7354","1","35048","4646","3498","15","1326","8412","64","8348","133","8481","2197","4248","296","8950","9246","2517","3895","31","4066","8272"
"2020","1910","FABRICACIÓN DE PRODUCTOS DE HORNOS DE COQUE","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","71658","9345","2245","52301","85284","277525","208087","221632","13445","862164","455433","406742","1108963","20462","7431","1136904","28195","53","1108657","886946","41872","27511","51724","2521","1010575","99282","1070","17","99265","2063","151","0","99194","561","524","25","29","25895","412","25483","4","25487","10604","323","5784","5446","11230","8099","12896","3","12898","1467"
"2021","6629","Evaluación de riesgos y daños, y otras actividades de servicios auxiliares","8","Actividades financieras, inmobiliarias y de seguros","11","Actividades financieras y de seguros","37416","5211","1476","32375","18160","37848","166","27359","12380","130232","40810","90574","137748","858","3074","143655","10591","2420","130644","21552","69686","9295","1700","311","102544","29562","1420","662","28901","39","0","25","28926","592","466","0","181","8967","324","8643","18","8661","100","3653","994","10181","11175","249","933","20","936","6934"
"2021","3320","Instalación especializada de maquinaria y equipo industrial ","3","Manufactura","3","Industrias manufactureras","153501","16427","4315","76909","211773","835731","122828","84621","35029","1378316","631335","752735","880388","5317","6616","896238","34865","3507","857866","644142","97193","27203","15564","1415","785518","78429","5243","6849","71580","18","1","116","71698","4290","2025","1","2264","21448","1031","20417","228","20645","1310","7484","8432","14441","22873","1303","2225","37","2244","11927"
"2012","4663","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción","6","Comercio al por mayor y al por menor, transporte  y almacenamiento, actividades de alojamiento y de servicio de comidas","7","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","530163","88568","33520","567499","233580","2647759","2500451","1225307","280951","7455763","4806158","2746675","12534187","78359","278307","12891025","458636","12751","12419579","9794168","863802","928157","419","310553","2102946","535789","57603","9722","526072","66165","9776","584","527211","36453","28292","56","8420","167930","310","167595","2771","170398","20627","26633","115287","125601","240837","23766","28230","277","28331","121904"
"2016","4530","COMERCIO DE PARTES, PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHÍCULOS AUTOMOTORES","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","7","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS","619315","75020","20866","454365","216256","2147064","2216083","771138","102226","5907132","3682513","2281701","8453763","56577","306171","8816510","383048","19713","8413749","5942490","705683","937637","352","406615","7992777","464952","43979","49314","415638","52857","759","0","420727","77542","49789","247","28803","103614","189","103425","2880","106305","14011","24263","47349","67825","115173","15189","38987","71","39095","62525"
"2021","4512","Comercio de vehículos automotores usados","6","Comercio al por mayor y al por menor, transporte  y almacenamiento, actividades de alojamiento y de servicio de comidas","7","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","62700","7443","2198","107937","53180","152662","208964","350962","53996","947763","644321","349693","942344","3986","25464","972421","45598","1132","925974","705390","130834","48910","15410","6119","906663","44701","23027","2986","41715","158","347","13","41394","22896","18892","579","3425","12836","1352","11485","345","11830","989","5134","5139","10936","16075","1442","3758","43","3794","12675"
